Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
USA,2022,DDoS,IT,74.59,281698,Insider,Social Engineering,Encryption,18,264.7871124395629,12.548594403982408,4.325323999304086,0,High Loss Fast Resolution Incidents
UK,2015,DDoS,Retail,94.19,145401,Insider,Unpatched Software,Antivirus,14,647.7947194310906,11.887257599145139,4.555874894263214,0,High Loss Fast Resolution Incidents
USA,2022,Ransomware,Banking,34.58,322611,Unknown,Unpatched Software,VPN,16,107.1879136173286,12.684205641749559,3.571783682237689,0,High Loss Fast Resolution Incidents
Russia,2017,Ransomware,Retail,52.79,942824,Nation-state,Social Engineering,Antivirus,68,55.991362120607874,13.756635966451142,3.985087576285151,2,High Loss Long Resolution Incidents
Russia,2019,DDoS,Healthcare,68.1,819663,Unknown,Zero-day,Encryption,5,83.08292554379055,13.616649779169906,4.235554730773624,0,High Loss Fast Resolution Incidents
China,2018,SQL Injection,Government,1.89,83376,Insider,Unpatched Software,Firewall,62,22.66839378238342,11.331127770936215,1.0612565021243408,1,Low Loss Wide Exposure Incidents
India,2021,Ransomware,Government,9.54,386911,Insider,Social Engineering,Antivirus,33,24.656833225212,12.865952555973973,2.355177543113216,1,Low Loss Wide Exposure Incidents
Germany,2017,Man-in-the-Middle,Healthcare,97.14,875912,Insider,Unpatched Software,Firewall,33,110.90155175405748,13.683022049917968,4.586395030661757,0,High Loss Fast Resolution Incidents
Australia,2021,Ransomware,Healthcare,37.89,843256,Nation-state,Unpatched Software,Antivirus,43,44.93297409090478,13.645027054104977,3.660737148167656,2,High Loss Long Resolution Incidents
Germany,2017,SQL Injection,Education,54.98,786577,Insider,Unpatched Software,Firewall,70,69.89779767270083,13.575447170116817,4.0249944840873075,2,High Loss Long Resolution Incidents
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25,344.4588202706162,12.56095298012041,4.5975411588236,0,High Loss Fast Resolution Incidents
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58,100.79789831862574,13.438527944931506,4.2504932447120325,2,High Loss Long Resolution Incidents
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30,311.5696269369022,12.41392386286608,4.352983949221151,0,High Loss Fast Resolution Incidents
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14,1001.4487310189409,11.442352774798065,4.546693256229116,3,High Per-User Damage Incidents
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,2760.8488400833303,10.251394166783005,4.371850028222321,3,High Per-User Damage Incidents
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4,113.50098791259879,13.218867389761451,4.151039905898646,0,High Loss Fast Resolution Incidents
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,1.5813141034367926,13.769365043623589,0.9202827531436926,1,Low Loss Wide Exposure Incidents
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,150.21704647728347,13.310216274755822,4.517758728977122,0,High Loss Fast Resolution Incidents
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,84.66004412314955,13.710885327473598,4.347046915777855,2,High Loss Long Resolution Incidents
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64,531.1840256448276,11.860959180806752,4.333755086000182,2,High Loss Long Resolution Incidents
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45,78.03858694673127,12.533777993611183,3.12060125559986,1,Low Loss Wide Exposure Incidents
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42,926.3311451495259,11.248660395116255,4.2783313983351166,3,High Per-User Damage Incidents
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,424.4388450134891,11.629053799029384,3.885062823845363,2,High Loss Long Resolution Incidents
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58,367.9329828110757,12.468413832808311,4.571199666416938,2,High Loss Long Resolution Incidents
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21,150.29188920630978,13.400272348296902,4.607367769531579,0,High Loss Fast Resolution Incidents
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53,103.05543964265306,13.719274950083449,4.549657476057833,2,High Loss Long Resolution Incidents
France,2017,DDoS,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44,261.29026985502037,12.631033144199662,4.393584583507611,2,High Loss Long Resolution Incidents
Germany,2021,SQL Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58,26.3573206644648,11.026206916547471,0.9631743177730056,1,Low Loss Wide Exposure Incidents
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66,217.20650611701194,13.031197199351796,4.606569206901799,2,High Loss Long Resolution Incidents
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58,491.356016684593,11.647089157650932,4.046379057927225,2,High Loss Long Resolution Incidents
USA,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,AI-based Detection,7,19769.891876906015,8.190908881182514,4.28096243218686,3,High Per-User Damage Incidents
China,2018,Ransomware,Retail,35.08,42831,Hacker Group,Social Engineering,Antivirus,42,819.0329434288249,10.665040765760134,3.585738695194423,3,High Per-User Damage Incidents
UK,2018,Man-in-the-Middle,Healthcare,45.11,545613,Insider,Unpatched Software,VPN,25,82.67764880968745,13.20966704500623,3.8310298462186143,0,High Loss Fast Resolution Incidents
UK,2015,Man-in-the-Middle,Healthcare,82.54,34240,Insider,Weak Passwords,Encryption,45,2410.6308411214955,10.44117903543668,4.425325559069029,3,High Per-User Damage Incidents
India,2024,Ransomware,Retail,17.57,236253,Unknown,Social Engineering,Firewall,38,74.36942599670692,12.37266277642959,2.9215473753646144,1,Low Loss Wide Exposure Incidents
China,2024,DDoS,Government,69.28,890675,Hacker Group,Unpatched Software,Firewall,5,77.78370337103883,13.699736003957575,4.252487263318897,0,High Loss Fast Resolution Incidents
UK,2023,Malware,Banking,55.34,259176,Unknown,Unpatched Software,VPN,3,213.52285705466556,12.465266504955212,4.0314047624482265,0,High Loss Fast Resolution Incidents
USA,2018,DDoS,Government,84.85,639011,Insider,Weak Passwords,Firewall,26,132.78331671911752,13.367678512526066,4.4526015873434845,0,High Loss Fast Resolution Incidents
Russia,2023,Malware,IT,98.07,608695,Nation-state,Unpatched Software,AI-based Detection,31,161.11517262339925,13.319074243078791,4.5958266709849385,0,High Loss Fast Resolution Incidents
UK,2019,Phishing,Telecommunications,90.67,902952,Unknown,Weak Passwords,Encryption,8,100.41508297229531,13.713425782318073,4.518195171973685,0,High Loss Fast Resolution Incidents
France,2017,SQL Injection,Healthcare,83.73,728486,Nation-state,Social Engineering,Encryption,61,114.93700633917467,13.498725059571422,4.439469730210373,2,High Loss Long Resolution Incidents
Australia,2022,Malware,Education,47.12,866057,Unknown,Social Engineering,Antivirus,17,54.40750435594886,13.671707159897718,3.873697891106478,0,High Loss Fast Resolution Incidents
Russia,2022,Malware,Telecommunications,84.57,262201,Nation-state,Weak Passwords,Encryption,54,322.5388156414354,12.47687047804771,4.449334754429963,2,High Loss Long Resolution Incidents
UK,2022,Ransomware,Retail,10.44,19404,Nation-state,Unpatched Software,Firewall,32,538.0333951762523,9.873286043803006,2.437115985951652,3,High Per-User Damage Incidents
Australia,2021,SQL Injection,Telecommunications,10.28,994468,Insider,Unpatched Software,Antivirus,8,10.337185309130108,13.809964205347388,2.423031246069913,1,Low Loss Wide Exposure Incidents
Brazil,2023,Ransomware,Government,4.6,762006,Unknown,Weak Passwords,Antivirus,21,6.036697873770023,13.543711020978295,1.7227665977411035,1,Low Loss Wide Exposure Incidents
USA,2023,DDoS,Healthcare,5.32,463332,Unknown,Weak Passwords,Encryption,16,11.482047430352317,13.046201297014045,1.843719208158766,1,Low Loss Wide Exposure Incidents
Australia,2019,DDoS,Healthcare,84.89,163975,Nation-state,Unpatched Software,Firewall,22,517.7008690349138,12.007475354633964,4.453067407778134,0,High Loss Fast Resolution Incidents
USA,2015,DDoS,IT,94.14,854005,Unknown,Zero-day,AI-based Detection,14,110.23354664199859,13.65769349850715,4.555349491004136,0,High Loss Fast Resolution Incidents
Germany,2019,Man-in-the-Middle,Government,75.37,445254,Hacker Group,Unpatched Software,VPN,42,169.27416710461893,13.006402430735122,4.335589948900293,2,High Loss Long Resolution Incidents
Japan,2020,Phishing,Education,49.17,218097,Unknown,Zero-day,VPN,32,225.45014374338024,12.292699782042218,3.9154172384961616,0,High Loss Fast Resolution Incidents
Australia,2018,SQL Injection,Education,75.2,60868,Insider,Social Engineering,Antivirus,46,1235.4603404087534,11.01647929289894,4.333361462692601,3,High Per-User Damage Incidents
UK,2020,DDoS,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67,125.38843679106783,13.344898743811585,4.373490303651595,2,High Loss Long Resolution Incidents
Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22,740.7821229050279,10.70886906982204,3.530762586016799,3,High Per-User Damage Incidents
China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55,38.43852010025889,13.707121014987138,3.569250966658405,2,High Loss Long Resolution Incidents
Australia,2018,SQL Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44,111.2939520982457,12.055121840638051,3.0027078872904163,1,Low Loss Wide Exposure Incidents
UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36,41.057397648106715,13.756896850403804,3.681854839176972,0,High Loss Fast Resolution Incidents
Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37,221.52455222638272,12.963367645913872,4.558916801470629,2,High Loss Long Resolution Incidents
Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50,73.51330380091875,13.301325965841794,3.8057732055854356,2,High Loss Long Resolution Incidents
Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47,746.1829509073604,11.752949731892473,4.562888793731485,3,High Per-User Damage Incidents
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32,378.0704665152173,12.367608842304287,4.498364181670282,0,High Loss Fast Resolution Incidents
India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36,141.2202468844132,12.03949253943051,3.215269329274089,1,Low Loss Wide Exposure Incidents
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67,8.121904761904762,13.394298616696334,1.8453002361560848,1,Low Loss Wide Exposure Incidents
Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33,100.93702461238101,13.313690924913189,4.128907006571212,0,High Loss Fast Resolution Incidents
Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42,77.65228486366429,13.178792858971022,3.7395725684294545,2,High Loss Long Resolution Incidents
Japan,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57,73.12783486068685,13.001153476747515,3.508256453955563,2,High Loss Long Resolution Incidents
Russia,2018,Ransomware,Healthcare,24.06,327566,Unknown,Unpatched Software,AI-based Detection,6,73.45084654695542,12.69944789328645,3.221272949467922,0,High Loss Fast Resolution Incidents
Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54,29.142529095558686,13.079510154669437,2.7053799725463312,1,Low Loss Wide Exposure Incidents
Japan,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54,83.32061972275561,13.764665584118681,4.384398818818937,2,High Loss Long Resolution Incidents
France,2018,Phishing,Government,70.59,947445,Insider,Social Engineering,Encryption,59,74.50564412709973,13.761525222230174,4.270955399408094,2,High Loss Long Resolution Incidents
India,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66,140.11072895602527,13.45067238535359,4.587820547652979,2,High Loss Long Resolution Incidents
Germany,2023,SQL Injection,Healthcare,14.12,403325,Hacker Group,Weak Passwords,AI-based Detection,35,35.0089877890039,12.907500446921341,2.716018370751387,1,Low Loss Wide Exposure Incidents
Brazil,2023,Phishing,Banking,69.45,852592,Nation-state,Zero-day,AI-based Detection,12,81.45748494004167,13.656037573098919,4.254903238344689,0,High Loss Fast Resolution Incidents
USA,2019,SQL Injection,Education,78.12,36804,Unknown,Weak Passwords,VPN,30,2122.595370068471,10.513388984492806,4.370965687314457,3,High Per-User Damage Incidents
UK,2018,DDoS,Banking,8.81,198929,Nation-state,Weak Passwords,AI-based Detection,41,44.28715772964223,12.200708283031023,2.2834022735772717,1,Low Loss Wide Exposure Incidents
Russia,2024,Malware,Education,83.29,143037,Insider,Unpatched Software,Firewall,47,582.2968882177339,11.870865608206682,4.434263234009391,2,High Loss Long Resolution Incidents
Germany,2024,Malware,Telecommunications,79.72,639779,Nation-state,Zero-day,Antivirus,6,124.60552784633444,13.36887964624028,4.390986376045354,0,High Loss Fast Resolution Incidents
Australia,2019,DDoS,Banking,29.85,949862,Hacker Group,Weak Passwords,Firewall,25,31.425617616032646,13.76407304265107,3.4291367503513968,0,High Loss Fast Resolution Incidents
China,2020,Man-in-the-Middle,Education,84.4,840118,Hacker Group,Zero-day,Encryption,58,100.46207794619328,13.641298827452388,4.447346100794524,2,High Loss Long Resolution Incidents
UK,2015,Phishing,IT,24.17,64082,Unknown,Social Engineering,Antivirus,16,377.17299709746885,11.067934397125784,3.2256528091472245,3,High Per-User Damage Incidents
Brazil,2020,DDoS,Government,13.22,790415,Hacker Group,Zero-day,Encryption,52,16.72539109202128,13.58031466812589,2.6546494243750947,1,Low Loss Wide Exposure Incidents
Australia,2024,Phishing,Education,18.64,701144,Hacker Group,Unpatched Software,Antivirus,41,26.585123740629598,13.460469991987674,2.97756830292632,1,Low Loss Wide Exposure Incidents
Brazil,2021,DDoS,Banking,84.41,230110,Unknown,Social Engineering,Antivirus,51,366.82456216592067,12.346317080182862,4.4474631899580555,2,High Loss Long Resolution Incidents
China,2024,Man-in-the-Middle,Government,11.99,735203,Insider,Zero-day,VPN,66,16.308420939522826,13.507903290705222,2.5641798306825083,1,Low Loss Wide Exposure Incidents
India,2018,SQL Injection,Education,77.02,424342,Unknown,Social Engineering,Antivirus,57,181.5045411484133,12.958297369444633,4.35696520407851,2,High Loss Long Resolution Incidents
China,2019,Man-in-the-Middle,IT,79.33,842637,Nation-state,Unpatched Software,AI-based Detection,55,94.14492836179755,13.644292726014775,4.386143150185721,2,High Loss Long Resolution Incidents
Japan,2019,Man-in-the-Middle,Telecommunications,89.5,163110,Nation-state,Zero-day,Encryption,35,548.7094598737049,12.002186229621236,4.505349850705881,0,High Loss Fast Resolution Incidents
USA,2015,SQL Injection,Retail,26.98,763017,Insider,Social Engineering,Firewall,24,35.35963156784187,13.54503690107614,3.331489969237335,0,High Loss Fast Resolution Incidents
Russia,2016,Man-in-the-Middle,Telecommunications,10.2,446917,Unknown,Unpatched Software,Firewall,1,22.823029779578757,13.010130411577423,2.4159137783010487,1,Low Loss Wide Exposure Incidents
Germany,2016,SQL Injection,Government,63.89,946613,Insider,Social Engineering,AI-based Detection,21,67.4932628222938,13.760646686118845,4.1726935286330775,0,High Loss Fast Resolution Incidents
Germany,2023,SQL Injection,Telecommunications,94.14,536737,Unknown,Unpatched Software,Encryption,44,175.39316275941476,13.193265358714212,4.555349491004136,2,High Loss Long Resolution Incidents
Germany,2017,SQL Injection,IT,33.79,772541,Nation-state,Unpatched Software,Antivirus,46,43.73877891270496,13.55744165520814,3.5493299891638506,2,High Loss Long Resolution Incidents
Brazil,2022,Phishing,IT,92.58,176386,Hacker Group,Unpatched Software,VPN,63,524.8715884480628,12.08043572369401,4.5388166854380705,2,High Loss Long Resolution Incidents
India,2024,Phishing,Telecommunications,50.64,513620,Unknown,Unpatched Software,Antivirus,65,98.5942914995522,13.14924091837247,3.944296565978442,2,High Loss Long Resolution Incidents
USA,2022,Ransomware,Education,14.5,353297,Insider,Weak Passwords,VPN,58,41.04195620115654,12.775067172419806,2.740840023925201,1,Low Loss Wide Exposure Incidents
UK,2016,Phishing,IT,1.28,604185,Unknown,Zero-day,Firewall,57,2.118556402426409,13.311637376530868,0.8241754429663495,1,Low Loss Wide Exposure Incidents
Germany,2023,Malware,Retail,62.43,918454,Unknown,Unpatched Software,Firewall,15,67.97291971073129,13.730448189513881,4.149936935645806,0,High Loss Fast Resolution Incidents
Australia,2017,Phishing,Retail,56.1,450205,Unknown,Zero-day,Firewall,32,124.6098999344743,13.017460534776,4.044804116661965,0,High Loss Fast Resolution Incidents
UK,2022,Phishing,Banking,18.45,848022,Hacker Group,Social Engineering,Antivirus,10,21.756511033911856,13.650663037047737,2.9678470700644555,0,High Loss Fast Resolution Incidents
USA,2016,Phishing,Banking,38.58,447486,Insider,Weak Passwords,Encryption,7,86.21498773145976,13.01140276599575,3.6783239401744194,0,High Loss Fast Resolution Incidents
Brazil,2024,Ransomware,Healthcare,6.67,553944,Hacker Group,Social Engineering,Encryption,64,12.040928324884826,13.224820682822697,2.0373166153791646,1,Low Loss Wide Exposure Incidents
Germany,2017,Malware,Healthcare,6.58,592988,Hacker Group,Unpatched Software,VPN,43,11.096345963156084,13.292931128060765,2.0255131996542803,1,Low Loss Wide Exposure Incidents
France,2024,Phishing,IT,64.54,255689,Unknown,Zero-day,Antivirus,54,252.4160210255428,12.451721052184453,4.182660643270669,2,High Loss Long Resolution Incidents
Australia,2020,SQL Injection,Telecommunications,43.69,269137,Unknown,Unpatched Software,AI-based Detection,18,162.33368135930772,12.502979538191159,3.79974976294536,0,High Loss Fast Resolution Incidents
UK,2020,Ransomware,IT,83.29,217598,Hacker Group,Unpatched Software,Encryption,24,382.77006222483664,12.29040919836513,4.434263234009391,0,High Loss Fast Resolution Incidents
Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54,183.89716152553206,12.260589239501622,3.6848714327163976,2,High Loss Long Resolution Incidents
Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62,99.2887537373593,13.572134962167521,4.367420482284519,2,High Loss Long Resolution Incidents
India,2018,SQL Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1,674.3709771796372,10.216288975780873,2.967332799032293,3,High Per-User Damage Incidents
China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27,92.99410437330367,13.734528242330736,4.463145685958674,0,High Loss Fast Resolution Incidents
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55,878.4257786923581,11.356610778702432,4.332442405318121,3,High Per-User Damage Incidents
Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72,37.15772323540232,13.25481343559745,3.100542637906336,2,High Loss Long Resolution Incidents
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11,135.6187711119176,12.788877477238294,3.9035875266070446,0,High Loss Fast Resolution Incidents
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59,29.133966128423324,13.30237393255654,2.914522218128448,2,High Loss Long Resolution Incidents
France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68,102.01438301796213,13.642999520270083,4.464182492687113,2,High Loss Long Resolution Incidents
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50,103.79186098719204,13.591844370099372,4.430697744137536,2,High Loss Long Resolution Incidents
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35,30.534490857955134,12.700241309196999,2.3988039507345884,1,Low Loss Wide Exposure Incidents
Australia,2020,SQL Injection,IT,21.02,681476,Unknown,Weak Passwords,VPN,6,30.84481331697668,13.432017780466307,3.091951131294534,0,High Loss Fast Resolution Incidents
Germany,2018,DDoS,Retail,80.85,148209,Insider,Weak Passwords,Antivirus,54,545.5134303584803,11.90638546595096,4.404888303817144,2,High Loss Long Resolution Incidents
India,2017,Man-in-the-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49,146.9521890892019,13.340650354630892,4.526126978647638,2,High Loss Long Resolution Incidents
France,2018,SQL Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29,425.9624364428765,11.25281964828855,3.521643534738023,3,High Per-User Damage Incidents
Russia,2017,SQL Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56,338.5530927705071,12.197465711914726,4.221417644785577,2,High Loss Long Resolution Incidents
France,2015,Ransomware,IT,84.02,824619,Unknown,Social Engineering,Firewall,21,101.88947865620365,13.622677953144656,4.442886522930644,0,High Loss Fast Resolution Incidents
Japan,2019,Malware,IT,33.61,52191,Nation-state,Weak Passwords,Antivirus,72,643.980762966795,10.86268450542074,3.544142657647253,3,High Per-User Damage Incidents
Australia,2022,Phishing,Healthcare,72.53,496317,Hacker Group,Weak Passwords,Antivirus,62,146.1364410245871,13.114972129303906,4.297693486208131,2,High Loss Long Resolution Incidents
India,2018,Malware,Healthcare,66.96,294133,Insider,Social Engineering,VPN,20,227.65211655951558,12.591790724796535,4.2189192968037315,0,High Loss Fast Resolution Incidents
Russia,2016,SQL Injection,Education,17.05,888205,Nation-state,Weak Passwords,AI-based Detection,38,19.19601893706971,13.69695897705263,2.89314568477889,1,Low Loss Wide Exposure Incidents
USA,2023,Malware,IT,21.53,233379,Unknown,Unpatched Software,Antivirus,50,92.25337326837462,12.360423305360099,3.114847754444153,2,High Loss Long Resolution Incidents
USA,2023,Malware,Banking,13.99,109083,Nation-state,Weak Passwords,Antivirus,49,128.25096486161914,11.599873506620884,2.7073833121145063,1,Low Loss Wide Exposure Incidents
France,2021,Phishing,Retail,45.74,754278,Insider,Social Engineering,Firewall,46,60.64077170486213,13.53351760507236,3.844600329110712,2,High Loss Long Resolution Incidents
Australia,2016,DDoS,Retail,2.96,990886,Insider,Weak Passwords,AI-based Detection,59,2.9872255738803455,13.806355780574515,1.3762440252663892,1,Low Loss Wide Exposure Incidents
UK,2016,Malware,Healthcare,65.14,742857,Nation-state,Weak Passwords,Antivirus,49,87.68847840163046,13.51826018834183,4.191773707553646,2,High Loss Long Resolution Incidents
UK,2021,Malware,Banking,73.02,731722,Hacker Group,Weak Passwords,VPN,28,99.79199750725002,13.503157306025765,4.30433532695801,0,High Loss Fast Resolution Incidents
Japan,2015,DDoS,Retail,11.69,680720,Nation-state,Zero-day,Encryption,2,17.172993301210482,13.43090780955515,2.540814281726296,1,Low Loss Wide Exposure Incidents
UK,2022,Phishing,Telecommunications,62.8,758516,Hacker Group,Zero-day,VPN,16,82.7932436494418,13.539120490176122,4.155753190350744,0,High Loss Fast Resolution Incidents
USA,2015,DDoS,Education,66.04,75167,Insider,Unpatched Software,VPN,13,878.5770351350993,11.22748088745864,4.205289456173828,3,High Per-User Damage Incidents
USA,2017,DDoS,Retail,70.37,513625,Nation-state,Weak Passwords,VPN,37,137.006570941835,13.149250653129544,4.267877612982976,2,High Loss Long Resolution Incidents
Australia,2022,Ransomware,Banking,32.56,979382,Nation-state,Social Engineering,Antivirus,43,33.24545478679413,13.794678060533853,3.5133348815990053,2,High Loss Long Resolution Incidents
USA,2017,Man-in-the-Middle,Healthcare,54.54,892665,Insider,Unpatched Software,VPN,31,61.097948278469524,13.701967769738877,4.017103481878653,0,High Loss Fast Resolution Incidents
India,2017,Phishing,IT,93.62,899005,Insider,Weak Passwords,AI-based Detection,61,104.13735185010094,13.7090449875138,4.549868870203002,2,High Loss Long Resolution Incidents
France,2022,SQL Injection,Government,68.53,812679,Nation-state,Zero-day,Encryption,67,84.32603770984608,13.608092707111547,4.2417583141109265,2,High Loss Long Resolution Incidents
India,2015,Malware,Telecommunications,4.52,252949,Insider,Unpatched Software,Firewall,51,17.869214742892837,12.440947119720082,1.7083778602890038,1,Low Loss Wide Exposure Incidents
Germany,2017,SQL Injection,Healthcare,12.56,135042,Nation-state,Weak Passwords,Antivirus,13,93.00810118333555,11.81334852522283,2.6071242825122494,1,Low Loss Wide Exposure Incidents
UK,2020,Man-in-the-Middle,Telecommunications,59.32,848419,Insider,Unpatched Software,VPN,27,69.91828330105761,13.651131075180757,4.099663723699701,0,High Loss Fast Resolution Incidents
UK,2019,Man-in-the-Middle,Education,29.92,937987,Hacker Group,Weak Passwords,VPN,45,31.89809666871716,13.751492434729556,3.4314032237192214,2,High Loss Long Resolution Incidents
Brazil,2019,Phishing,Government,70.6,817268,Nation-state,Zero-day,VPN,1,86.38537175075984,13.613723573016118,4.2710950739666,0,High Loss Fast Resolution Incidents
China,2023,Man-in-the-Middle,Banking,3.47,194670,Nation-state,Social Engineering,Firewall,29,17.82503724251297,12.17906623316847,1.4973884086254774,1,Low Loss Wide Exposure Incidents
Australia,2020,Ransomware,Telecommunications,97.9,139407,Insider,Unpatched Software,Antivirus,41,702.260288220821,11.845160164471068,4.594109238628667,3,High Per-User Damage Incidents
Japan,2023,SQL Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57,44.85525470599122,12.121075602044282,2.2235418856535927,1,Low Loss Wide Exposure Incidents
Australia,2017,Malware,Banking,25.76,801821,Unknown,Weak Passwords,AI-based Detection,18,32.12687120940958,13.594641917078027,3.286908235260028,0,High Loss Fast Resolution Incidents
India,2018,Phishing,Education,5.27,982450,Unknown,Weak Passwords,Firewall,32,5.364140668736322,13.797805748708328,1.8357763546448291,1,Low Loss Wide Exposure Incidents
Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21,210.6998636647941,12.7569071333154,4.3054155323020415,0,High Loss Fast Resolution Incidents
China,2020,SQL Injection,Healthcare,11.55,388591,Unknown,Zero-day,Antivirus,68,29.72276764001225,12.870285228992003,2.529720665577793,1,Low Loss Wide Exposure Incidents
Japan,2022,DDoS,IT,51.95,65516,Insider,Weak Passwords,Firewall,37,792.9360766835582,11.090064929932883,3.9693480720474157,3,High Per-User Damage Incidents
Brazil,2018,SQL Injection,Retail,36.63,829742,Insider,Unpatched Software,Firewall,57,44.14625269059539,13.628871293270649,3.627801604605346,2,High Loss Long Resolution Incidents
Brazil,2018,Malware,Telecommunications,96.22,445546,Nation-state,Weak Passwords,Firewall,45,215.95974377505354,13.00705801976716,4.576976451617309,2,High Loss Long Resolution Incidents
Australia,2019,Malware,Telecommunications,37.3,208089,Unknown,Zero-day,Antivirus,33,179.25022466348534,12.245725957406826,3.6454498961866,0,High Loss Fast Resolution Incidents
USA,2020,DDoS,Healthcare,38.14,846602,Insider,Weak Passwords,Firewall,31,45.05068497357672,13.648987150648791,3.66714496196793,0,High Loss Fast Resolution Incidents
France,2023,Phishing,IT,15.49,138639,Hacker Group,Unpatched Software,VPN,14,111.72902285792598,11.839635924389487,2.8027541365715076,1,Low Loss Wide Exposure Incidents
Australia,2015,Phishing,Telecommunications,89.41,488342,Hacker Group,Unpatched Software,Firewall,23,183.08890081131665,13.098773306791115,4.5043548807492755,0,High Loss Fast Resolution Incidents
Brazil,2022,Man-in-the-Middle,Education,91.69,581034,Insider,Social Engineering,VPN,67,157.80487888832667,13.27256627498349,4.529260591887741,2,High Loss Long Resolution Incidents
China,2022,Phishing,IT,41.81,631816,Unknown,Weak Passwords,Firewall,29,66.17432923509377,13.356355074237257,3.7567717201568547,0,High Loss Fast Resolution Incidents
